city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Noumea,NC,2022-02-18 01:17:16,-22.2763,166.4572,84.99,99,94,6.78
203,Villa Corzo,MX,2022-02-18 01:17:16,16.1667,-93.25,83.19,62,0,4.45
204,Samarai,PG,2022-02-18 01:17:17,-10.6167,150.6667,84.96,70,41,5.08
205,Mlimba,TZ,2022-02-18 01:17:17,-8.8,35.8167,71.17,93,96,2.15
206,Manzanillo,CU,2022-02-18 01:17:17,20.3433,-77.1167,76.39,76,28,8.37
207,Torbay,CA,2022-02-18 01:17:18,47.6666,-52.7314,45.39,83,100,36.82
208,Havelock,US,2022-02-18 01:17:18,34.8791,-76.9013,66.15,88,100,7.0
209,Roros,NO,2022-02-18 01:16:05,62.5747,11.3842,21.04,79,75,4.61
210,Tres Lagoas,BR,2022-02-18 01:17:19,-20.7511,-51.6783,72.18,90,99,5.95
211,Roma,US,2022-02-18 01:17:19,43.2128,-75.4557,53.46,95,100,11.01
212,Nago,JP,2022-02-18 01:17:19,26.5881,127.9761,59.07,83,100,21.3
213,Beloha,MG,2022-02-18 01:17:20,-25.1667,45.05,72.18,90,0,9.24
214,Luderitz,NA,2022-02-18 01:17:20,-26.6481,15.1594,71.85,70,55,9.82
215,Vila Franca Do Campo,PT,2022-02-18 01:17:21,37.7167,-25.4333,53.2,68,95,20.62
216,Impfondo,CG,2022-02-18 01:17:21,1.6381,18.0667,73.08,68,33,3.29
217,Shirvan,AZ,2022-02-18 01:17:21,39.9509,48.8994,44.38,83,93,4.38
218,Conde,BR,2022-02-18 01:17:22,-7.2597,-34.9075,78.26,89,75,1.14
219,Mayumba,GA,2022-02-18 01:17:22,-3.432,10.6554,78.21,84,100,2.89
220,Sarkand,KZ,2022-02-18 01:17:23,45.41,79.9186,10.62,58,0,7.9
221,Coihaique,CL,2022-02-18 01:17:23,-45.5752,-72.0662,63.21,55,100,4.61
222,Namibe,AO,2022-02-18 01:17:23,-15.1961,12.1522,76.17,79,93,1.3
223,Gomel,BY,2022-02-18 01:12:52,52.4345,30.9754,37.81,98,100,11.21
224,Kovernino,RU,2022-02-18 01:17:24,57.1253,43.8142,34.47,92,100,18.88
225,Marawi,PH,2022-02-18 01:17:24,7.9986,124.2928,74.57,65,100,4.0
226,Gimli,CA,2022-02-18 01:17:25,50.6336,-96.9907,-15.88,76,33,6.91
227,Tura,IN,2022-02-18 01:17:25,25.5198,90.2201,55.36,54,0,2.35
228,Lasa,IT,2022-02-18 01:17:25,46.6166,10.7002,47.66,82,28,6.96
229,Pevek,RU,2022-02-18 01:17:26,69.7008,170.3133,-28.71,97,100,4.88
230,La Romana,DO,2022-02-18 01:17:26,18.4273,-68.9728,76.73,94,20,11.5
231,Saint-Leu,RE,2022-02-18 01:18:26,-21.15,55.2833,77.86,78,100,6.64
232,Kaa-Khem,RU,2022-02-18 01:18:27,51.6833,94.7333,-18.17,96,83,3.78
233,Phan Thiet,VN,2022-02-18 01:13:47,10.9333,108.1,80.78,69,99,9.24
234,Macherla,IN,2022-02-18 01:18:27,16.4833,79.4333,66.87,89,7,4.07
235,Lewiston,US,2022-02-18 01:18:28,44.1003,-70.2148,51.19,86,100,1.01
236,Oriximina,BR,2022-02-18 01:18:28,-1.7656,-55.8661,74.64,95,100,3.24
237,Dudinka,RU,2022-02-18 01:18:28,69.4058,86.1778,-3.39,88,100,18.41
238,Okato,NZ,2022-02-18 01:18:29,-39.2,173.8833,72.91,79,20,9.6
239,Bulgan,MN,2022-02-18 01:18:29,48.8125,103.5347,-9.08,92,29,3.67
